gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,20
2,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,6
3,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,8
4,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,14
5,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,1
6,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,7
7,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,True,5
8,0,0,0.0,0.0,0.0,0.0,0,45,0,0,0,0,0,0,False,16
9,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,3
10,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,19
11,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,18
12,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,17
13,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,4
14,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,10
