gw_index,total_points,bps,creativity,threat,influence,ict_index,minutes,value,goals_scored,assists,yellow_cards,red_cards,goals_conceded,saves,was_home,opponent_team
1,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,False,9
2,0,0,0.0,0.0,0.0,0.0,0,50,0,0,0,0,0,0,True,12
3,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,True,5
4,0,0,0.0,0.0,0.0,0.0,0,49,0,0,0,0,0,0,False,8
5,0,12,5.7,0.0,20.4,2.6,90,49,0,0,0,0,5,0,True,6
6,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,7
7,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,True,18
8,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,11
9,1,10,1.3,0.0,15.2,1.7,72,48,0,0,1,0,1,0,True,16
10,0,0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,0,False,13
11,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,1
12,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,2
13,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,3
14,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,15
15,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,19
16,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,4
17,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,17
18,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,14
19,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,11
20,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,10
21,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,False,18
22,0,0,0.0,0.0,0.0,0.0,0,47,0,0,0,0,0,0,True,13
23,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,16
24,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,True,10
25,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,12
26,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,True,9
27,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,True,14
28,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,False,17
29,0,0,0.0,0.0,0.0,0.0,0,46,0,0,0,0,0,0,True,4
30,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,2
31,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,1
32,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,15
33,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,8
34,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,5
35,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,7
36,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,6
