@relation Sam_Surridge

@attribute gw_index numeric
@attribute total_points numeric
@attribute bps numeric
@attribute creativity numeric
@attribute threat numeric
@attribute influence numeric
@attribute ict_index numeric
@attribute minutes numeric
@attribute value numeric
@attribute goals_scored numeric
@attribute assists numeric
@attribute yellow_cards numeric
@attribute red_cards numeric
@attribute goals_conceded numeric
@attribute saves numeric
@attribute was_home {False,True}
@attribute opponent_team numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,8
2,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,12
3,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,20
4,1,2,1.5,4,0,0.6,10,45,0,0,0,0,0,0,False,1
5,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,13
6,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,10
7,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,15
8,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,11
9,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,4
10,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,3
11,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,9
12,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,16
13,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,17
14,1,1,10.3,19,5,3.4,1,45,0,0,0,0,0,0,False,7
15,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,15
16,0,0,0,0,0,0,0,45,0,0,0,0,0,0,False,2
17,0,0,0,0,0,0,0,45,0,0,0,0,0,0,True,11
18,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,9
19,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,8
20,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,16
21,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,19
22,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,1
23,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,14
24,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,18
25,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,12
26,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,13
27,0,0,0,0,0,0,0,44,0,0,0,0,0,0,True,20
28,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,17
29,0,0,0,0,0,0,0,44,0,0,0,0,0,0,False,7
30,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,10
31,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,6
32,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,5
33,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,1
34,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,4
35,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,19
36,1,3,0.3,2,0.2,0.3,15,43,0,0,0,0,1,0,True,18
37,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,14
38,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,4
39,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,2
40,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,15
41,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,5
42,0,0,0,0,0,0,0,43,0,0,0,0,0,0,True,6
43,0,0,0,0,0,0,0,43,0,0,0,0,0,0,False,10
