@relation Kepa_Arrizabalaga

@attribute gw_index numeric
@attribute total_points numeric
@attribute bps numeric
@attribute creativity numeric
@attribute threat numeric
@attribute influence numeric
@attribute ict_index numeric
@attribute minutes numeric
@attribute value numeric
@attribute goals_scored numeric
@attribute assists numeric
@attribute yellow_cards numeric
@attribute red_cards numeric
@attribute goals_conceded numeric
@attribute saves numeric
@attribute was_home {False,True}
@attribute opponent_team numeric

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
1,6,23,0,0,9.2,0.9,90,55,0,0,0,0,0,1,False,10
2,2,17,0,0,28.2,2.8,90,55,0,0,0,0,2,4,True,1
3,2,9,0,0,6.6,0.7,90,55,0,0,0,0,1,1,False,15
4,6,21,0,0,12.2,1.2,90,55,0,0,0,0,0,1,True,2
5,2,10,0.1,0,12.4,1.3,90,55,0,0,0,0,1,1,True,5
6,6,21,0,0,12.2,1.2,90,55,0,0,0,0,0,1,False,19
7,3,19,0,0,21.6,2.2,90,55,0,0,0,0,1,3,True,12
8,9,36,0,0,33.4,3.3,90,55,0,0,0,0,0,6,False,16
9,1,13,0,0,20.4,2,90,55,0,0,0,0,2,2,True,14
10,6,25,0,0,13.8,1.4,90,55,0,0,0,0,0,1,False,4
11,2,11,0,0,13,1.3,90,55,0,0,0,0,1,1,True,7
12,6,21,0,0,10.4,1,90,55,0,0,0,0,0,1,True,8
13,3,20,0,0,48.4,4.8,90,55,0,0,0,0,3,6,False,17
14,9,33,0,0,31.4,3.1,90,55,0,0,0,0,0,4,True,9
15,1,13,0,0,5.4,0.5,90,55,0,0,0,0,2,0,False,20
16,7,26,0,0,24.2,2.4,90,55,0,0,0,0,0,4,True,13
17,1,13,0,0,8,0.8,90,56,0,0,1,0,1,1,False,3
18,2,13,0,0,10.4,1,90,56,0,0,0,0,1,2,True,11
19,2,11,0,0,11.6,1.2,90,56,0,0,0,0,1,1,False,18
20,6,19,0,0,3.4,0.3,90,56,0,0,0,0,0,0,False,7
21,7,29,0,0,14.4,1.4,90,56,0,0,0,0,0,2,True,16
22,2,11,0,0,7.4,0.7,90,56,0,0,0,0,1,1,True,15
23,2,18,0,0,25.8,2.6,90,56,0,0,0,0,2,3,False,1
24,1,20,0,0,24.6,2.5,90,56,0,0,0,0,4,3,False,2
25,6,24,0,0,17.4,1.7,90,56,0,0,0,0,0,2,True,10
26,0,17,0,0,21.6,2.2,90,56,0,0,0,0,6,3,False,13
27,0,0,0,0,0,0,0,55,0,0,0,0,0,0,True,17
28,3,22,0,0,29.6,3,90,55,0,0,0,0,1,4,False,9
29,2,7,0,0,4.8,0.5,90,54,0,0,0,0,1,0,True,20
30,11,35,0,0,63.2,6.3,90,54,0,0,0,0,2,6,False,8
31,2,13,0,0,12.6,1.3,90,54,0,0,0,0,1,2,False,5
32,6,21,0,0,6.8,0.7,90,54,0,0,0,0,0,1,True,3
33,5,21,0,0,15,1.5,90,54,0,0,1,0,0,2,True,19
34,2,21,0,0,43.6,4.4,90,54,0,0,0,0,2,5,False,12
35,1,11,0,0,12.8,1.3,90,54,0,0,0,0,2,1,True,4
36,3,15,0,0,22.4,2.2,90,54,0,0,0,0,1,3,False,14
37,7,26,0,0,22.8,2.3,90,54,0,0,0,0,0,3,True,18
38,0,0,0,0,0,0,0,54,0,0,0,0,0,0,False,11
39,0,9,0,0,7,0.7,90,55,0,0,0,0,4,1,False,12
40,2,18,0,0,23,2.3,90,55,0,0,0,0,1,2,True,9
41,2,14,0,0,24,2.4,90,55,0,0,0,0,2,3,False,14
42,1,19,0,0,10.2,1,90,55,0,0,0,0,2,2,True,15
43,2,18,0,0,27.2,2.7,90,55,0,0,0,0,2,3,False,20
44,1,10,0,0,11.6,1.2,90,55,0,0,0,0,2,1,True,10
45,6,23,0,0,18,1.8,90,55,0,0,0,0,0,1,True,4
46,2,10,0,0,7.6,0.8,90,55,0,0,0,0,1,1,False,16
47,6,20,0,0,2.8,0.3,90,55,0,0,0,0,0,0,True,13
48,2,14,0,0,24.2,2.4,90,55,0,0,0,0,2,3,False,5
49,2,15,0,0,21,2.1,90,55,0,0,0,0,1,2,False,18
50,6,21,0,0,8,0.8,90,55,0,0,0,0,0,1,True,7
51,1,15,0,0,15.8,1.6,90,55,0,0,0,0,2,2,False,11
52,3,13,0,0,27.4,2.7,90,55,0,0,0,0,1,3,True,19
53,2,13,0,0,19,1.9,90,55,0,0,0,0,1,2,True,2
54,2,19,0,0,33.2,3.3,90,55,0,0,0,0,3,4,False,8
55,2,13,0,0,12.4,1.2,90,55,0,0,0,0,1,1,True,3
56,6,23,0,0,13.6,1.4,90,55,0,0,0,0,0,1,False,17
57,1,16,0,0,14,1.4,90,55,0,0,0,0,2,1,True,16
58,2,10,0,0,7.2,0.7,90,55,0,0,0,0,1,1,False,1
59,3,15,0,0,31.8,3.2,90,55,0,0,0,0,1,4,False,4
60,6,21,0,0,7.6,0.8,90,55,0,0,0,0,0,1,True,5
61,2,8,0,0,6,0.6,90,55,0,0,0,0,1,1,False,13
62,1,6,0,0,2.4,0.2,90,55,0,0,0,0,2,0,True,1
63,0,0,0,0,0,0,0,55,0,0,0,0,0,0,False,9
64,0,0,0,0,0,0,0,55,0,0,0,0,0,0,True,12
65,0,0,0,0,0,0,0,55,0,0,0,0,0,0,True,17
66,0,0,0,0,0,0,0,55,0,0,0,0,0,0,False,3
67,6,24,0,0,9.2,0.9,90,54,0,0,0,0,0,1,True,8
